word,freq
Having,2
Decidedly,1
Insufferable,1
Worse,2
Absolutely,1
Astonished,1
Always,3
More,3
Offended,1
Wright,4
Heavens,2
Midsummer,3
According,1
Dixons_,1
Dinner,2
Since,2
Indifferent,1
Letters,1
Business,1
Young,2
Liable,1
Excuse,3
Must,3
April,3
Bragge,7
Wax,1
Trouble,1
July,2
Offices,1
Put,1
Sixty,1
Clifton,1
May_,2
Hymen,1
Tupman,1
West,1
Hall,1
Birmingham,2
Tupmans,1
Tea,3
Increase,1
Difference,1
Witness,1
Dining,1
Aunt,1
Uncle,2
Absence,1
Lively,1
Randall,1
Richmond,13
Manchester,1
General,1
Excellently,1
Aladdin,1
Delighted,1
Gone,1
Bought,1
Dr,2
Hughes,3
Richard,2
Otway,5
Caroline,1
Arthur,1
Ungrateful,1
Escape,1
Supper,1
Quantities,1
Excellent,1
Grandmama,1
Stop,2
Beautiful,1
Candles,1
Anywhere,1
Soup,1
Whom,2
Brother,1
Bickerton,3
About,3
Beyond,2
Within,4
Most_,1
Tunbridge,1
Remember,3
Talking,1
Plain,1
Service,1
Henceforward,1
Sucklings,6
Cowper,1
Myself,1
Extraordinary,2
Pembroke,1
Disingenuousness,1
Dixon_,1
Interference,1
Box,18
Hill,19
Kings,1
Name,1
Lady,1
Patroness,1
Married,1
Under,2
Delightful,2
Morning,1
Chili,1
Seats,1
Disputable,1
Books,1
Mine,1
St,1
Mark,1
Place,1
Venice,1
Madness,1
Swisserland,4
Madeira,1
Chuse,1
Seven,1
Dating,1
Mickleham,1
Dorking,1
Chaperon_,1
Pardon,1
Agreed,1
Low,1
Em,1
Understanding,2
Perfection_,1
Pass,2
Peculiarly,1
Find,1
Adopt,1
Hazle,1
Referring,1
There_,2
Smallridge,10
Except,1
Bragges,2
Abdy,1
Tom,1
Goldsmith,1
Windsor,5
Break,1
Otways,1
Engaged,1
Some_,1
Imagine,2
Composure,1
Impropriety,1
None,2
His_,1
Conceive,1
Common,1
Him,1
Mistake,1
Rousing,1
Methodical,1
Latterly,2
Circumstances,1
Satisfied,1
Wish,1
Marriage,1
Apologies,1
Wrong,1
Pain,1
Birth,1
Supposing,1
Indignation,1
Abominable,1
Fortunate,1
Assured,1
Stay,1
Say,2
Bear,1
Seldom,1
Her_,2
Yours,1
WINDSOR,1
JULY,1
MY,1
DEAR,1
MADAM,1
Amiable,1
Acquit,1
Son,1
WESTON,1
CHURCHILL,1
Bad,2
Playing,1
Too,1
Fancying,1
Natural,1
Mystery,1
Finesse,1
Dearer,1
Happier,1
Like,1
Beg,1
Hush,1
Harry,1
La,2
Baronne,1
Almane,1
Comtesse,1
Ostalis,1
Madame,1
Genlis,1
Adelaide,2
Theodore,1
Nature,1
Anna,1
Rather,1
Extremely,1
Shocking,1
Astley,4
Serious,1
High,1
Early,1
Observe,2
XIX,1
Other,1
Pilfering,1
FINIS,1
